# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_com_aroma_ring[1] c_com_aroma_ring[2] c_com_aroma_ring[3]
6000 12
10 -21.7998 -15.6938 11.5803
11 -2.95624 8.07701 -20.6179
12 34.6491 6.90342 11.4937
246000 12
1 15.2792 23.6665 -20.4632
2 4.10972 -11.1452 -20.4572
3 -21.0852 19.4695 -20.3524
4 -2.86128 -14.0954 11.3833
5 -0.346184 22.6702 11.264
6 -20.1298 19.8003 42.7339
7 15.7391 -14.3345 -20.3154
8 -22.8902 -33.2747 -20.9177
9 -30.7394 24.2778 -20.4011
10 -22.0973 -15.1543 11.5846
11 -3.03012 9.2233 -20.627
12 33.4798 5.88161 11.633
252000 12
1 15.6746 23.5571 -20.5263
2 4.89585 -11.094 -20.412
3 -20.1273 19.7943 -20.5223
4 -1.4996 -14.2891 11.2881
5 -0.00114772 22.4399 11.3117
6 -19.2172 20.0454 42.5003
7 15.7848 -13.6368 -20.168
8 -22.701 -33.2762 -20.3902
9 -30.3749 24.2053 -20.4594
10 -21.356 -15.2179 11.6263
11 -3.3009 9.04306 -20.5301
12 32.8315 5.04757 11.6274
258000 12
1 15.2274 23.6316 -20.6259
2 5.41163 -11.6051 -20.4806
3 -19.0423 19.7719 -20.6574
4 -1.63078 -15.1347 11.1122
5 0.40195 22.932 11.3976
6 -18.3468 20.0641 42.4528
7 16.2811 -13.8104 -20.3893
8 -23.1917 -33.0625 -20.4514
9 -31.2467 24.1337 -20.6217
10 -21.9106 -15.804 11.7306
11 -2.67962 7.935 -20.7094
12 33.6347 5.21549 11.705
264000 12
1 14.9251 22.9971 -20.73
2 4.89617 -11.4504 -20.6715
3 -19.4051 19.7504 -20.7396
4 -1.85095 -15.4691 11.4378
5 0.388181 23.2823 11.5466
6 -19.4368 20.4707 42.4037
7 16.6134 -14.0783 -20.5173
8 -23.3037 -33.4927 -20.7454
9 -31.5914 23.4395 -20.7701
10 -21.9769 -16.382 11.5269
11 -3.22204 7.39899 -21.0462
12 34.0156 5.28293 11.9969
270000 12
1 14.458 22.2922 -20.831
2 4.27244 -11.6581 -20.5155
3 -20.3922 19.4241 -20.4439
4 -2.61927 -14.6596 11.5051
5 0.449123 23.5187 11.4749
6 -20.3602 20.246 42.6002
7 16.1762 -14.4763 -20.5709
8 -23.7463 -33.4735 -20.6829
9 -32.1441 22.5654 -20.9518
10 -21.2334 -17.4826 11.4712
11 -3.75083 6.04396 -20.5423
12 34.1945 5.09163 11.8372
276000 12
1 13.7013 22.3659 -20.6642
2 3.7119 -11.4318 -20.7219
3 -20.9427 19.2866 -20.7163
4 -2.06076 -14.2971 11.5757
5 0.93616 23.6246 11.3025
6 -20.7028 19.8813 42.3901
7 15.8782 -13.65 -20.7849
8 -23.1456 -33.1216 -20.6025
9 -32.7789 22.8009 -20.6806
10 -20.6574 -17.2194 11.5275
11 -3.3881 5.8266 -20.7306
12 33.0837 5.63349 11.9615
282000 12
1 14.0051 22.4255 -20.5803
2 4.16721 -12.3711 -20.5069
3 -20.2772 19.3738 -20.8215
4 -1.79913 -12.5523 11.5646
5 1.17917 23.3315 11.2522
6 -19.3519 19.2932 42.2408
7 15.4377 -13.3541 -20.4928
8 -22.9258 -31.9003 -20.5149
9 -32.4836 22.8662 -20.5413
10 -20.0219 -16.2289 11.7964
11 -3.3331 6.21429 -20.2863
12 32.1214 5.59087 11.6486
288000 12
1 14.9122 22.8854 -20.1329
2 4.85951 -11.8837 -20.8446
3 -19.3477 19.8618 -20.5819
4 -1.97296 -11.8766 11.7883
5 0.682443 21.8313 11.1769
6 -18.4208 19.6686 42.4653
7 14.7246 -14.7485 -20.3716
8 -23.2367 -31.0171 -20.7253
9 -31.285 23.4802 -20.1072
10 -19.2112 -15.7869 11.5998
11 -3.43625 6.11931 -20.6038
12 32.4046 6.21244 11.7404
294000 12
1 14.9074 22.9177 -20.2703
2 4.64606 -11.9914 -20.6725
3 -19.8933 20.2844 -20.1623
4 -1.85918 -10.2287 12.0109
5 -0.182883 22.2769 11.5426
6 -19.0122 19.9545 42.8733
7 15.2047 -15.7303 -20.4903
8 -23.0813 -30.7769 -20.337
9 -31.3077 23.5614 -20.292
10 -19.0937 -16.1405 11.2718
11 -3.32749 6.67964 -20.4422
12 32.6466 6.79485 11.3959
300000 12
1 14.6773 22.9953 -20.2245
2 5.20906 -11.8242 -20.5839
3 -21.8359 20.0475 -20.0171
4 -2.24786 -9.3249 12
5 -0.896969 22.0711 11.489
6 -20.9426 19.6846 43.01
7 14.4801 -15.5744 -20.5995
8 -23.734 -29.6335 -20.0527
9 -31.4891 23.6727 -20.2685
10 -19.1909 -14.8215 11.3844
11 -2.67218 7.27405 -20.355
12 33.2151 6.70288 11.3332
306000 12
